% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
25331.571449   -9.986 
25331.771444   -9.797 
25331.971439   -9.731 
25332.171434   -9.532 
25332.371429   -9.645 
25332.571425   -9.818 
25332.771420   -9.923 
25332.971415  -10.105 
25333.171410  -10.153 
25333.371406  -10.199 
25333.571401  -10.143 
25333.771396   -9.969 
25333.971391   -9.837 
25334.171386   -9.601 
25334.371382   -9.519 
25334.571377   -9.546 
25334.771372   -9.689 
25334.971367   -9.751 
25335.171362   -9.850 
25335.371358   -9.940 
25335.571353   -9.963 
25335.771348   -9.896 
25335.971343   -9.697 
25336.171338   -9.618 
25336.371334   -9.415 
25336.571327   -9.528 
25336.771322   -9.687 
25336.971317   -9.791 
25337.171313   -9.979 
25337.371308  -10.026 
25337.571303  -10.078 
25337.771298  -10.034 
25337.971293   -9.871 
25338.171289   -9.737 
25338.371284   -9.523 
25338.571279   -9.400 
25338.771274   -9.448 
25338.971269   -9.574 
25339.171265   -9.636 
25339.371260   -9.743 
25339.571255   -9.831 
25339.771250   -9.858 
25339.971246   -9.825 
25340.171241   -9.605 
25340.371236   -9.542 
25340.571231   -9.327 
25340.771226   -9.408 
25340.971221   -9.565 
25341.171217   -9.678 
25341.371212   -9.848 
25341.571208   -9.883 
25341.771203   -9.929 
25341.971198   -9.879 
25342.171193   -9.724 
25342.371188   -9.592 
25342.571183   -9.381 
25342.771179   -9.262 
25342.971174   -9.285 
25343.171169   -9.436 
25343.371164   -9.500 
25343.571160   -9.618 
25343.771155   -9.697 
25343.971150   -9.737 
25344.171145   -9.687 
25344.371140   -9.494 
25344.571136   -9.423 
25344.771131   -9.208 
25344.971126   -9.310 
25345.171121   -9.477 
25345.371117   -9.590 
25345.571112   -9.766 
25345.771107   -9.810 
25345.971102   -9.879 
25346.171097   -9.854 
25346.371093   -9.712 
25346.571087   -9.580 
25346.771082   -9.390 
25346.971077   -9.237 
25347.171072   -9.251 
25347.371068   -9.408 
25347.571063   -9.480 
25347.771058   -9.592 
25347.971053   -9.678 
25348.171048   -9.728 
25348.371044   -9.693 
25348.571039   -9.513 
25348.771034   -9.436 
25348.971029   -9.205 
25349.171024   -9.310 
25349.371020   -9.471 
25349.571015   -9.592 
25349.771010   -9.762 
25349.971005   -9.829 
25350.171000   -9.892 
25350.370996   -9.858 
25350.570991   -9.733 
25350.770986   -9.599 
25350.970981   -9.427 
25351.170976   -9.266 
25351.370972   -9.297 
25351.570966   -9.475 
25351.770961   -9.546 
25351.970956   -9.638 
25352.170952   -9.758 
25352.370947   -9.802 
25352.570942   -9.756 
25352.770937   -9.601 
25352.970932   -9.503 
25353.170928   -9.274 
25353.370923   -9.367 
25353.570918   -9.507 
25353.770914   -9.636 
25353.970909   -9.779 
25354.170904   -9.846 
25354.370899   -9.873 
25354.570894   -9.841 
25354.770890   -9.712 
25354.970885   -9.563 
25355.170880   -9.402 
25355.370875   -9.233 
25355.570870   -9.224 
25355.770866   -9.402 
25355.970861   -9.477 
25356.170856   -9.605 
25356.370851   -9.691 
25356.570846   -9.745 
25356.770841   -9.731 
25356.970836   -9.584 
25357.170831   -9.517 
25357.370826   -9.304 
25357.570822   -9.381 
25357.770817   -9.542 
25357.970812   -9.672 
25358.170807   -9.823 
25358.370803   -9.896 
25358.570798   -9.959 
25358.770793   -9.952 
25358.970788   -9.823 
25359.170783   -9.666 
25359.370779   -9.517 
25359.570774   -9.327 
25359.770769   -9.337 
25359.970764   -9.496 
25360.170759   -9.576 
25360.370755   -9.718 
25360.570750   -9.797 
25360.770745   -9.864 
25360.970740   -9.850 
25361.170736   -9.687 
25361.370731   -9.599 
25361.570726   -9.390 
25361.770721   -9.459 
25361.970716   -9.607 
25362.170712   -9.781 
25362.370707   -9.931 
25362.570701  -10.003 
25362.770696  -10.101 
25362.970691  -10.063 
25363.170687   -9.952 
25363.370682   -9.783 
25363.570677   -9.649 
25363.770672   -9.427 
25363.970667   -9.429 
25364.170663   -9.584 
25364.370658   -9.659 
25364.570653   -9.791 
25364.770648   -9.862 
25364.970644   -9.931 
25365.170639   -9.906 
25365.370634   -9.735 
25365.570629   -9.613 
25365.770624   -9.385 
25365.970619   -9.433 
25366.170615   -9.551 
25366.370610   -9.701 
25366.570605   -9.856 
25366.770601   -9.982 
25366.970596  -10.065 
25367.170591  -10.017 
25367.370586   -9.875 
25367.570582   -9.710 
25367.770577   -9.569 
25367.970572   -9.354 
25368.170567   -9.339 
25368.370563   -9.496 
25368.570558   -9.567 
25368.770553   -9.695 
25368.970548   -9.764 
25369.170543   -9.848 
25369.370538   -9.833 
25369.570534   -9.695 
25369.770529   -9.582 
25369.970524   -9.387 
