% this file was created on 13-Jun-2013 18:08:00 
%
% SC:        Cluster 1 
% Intrument: EFW 
% Signal:    P 
% Sensor:    1234 
% Coord Sys: sc 
%
% comment:   this signal is averaged from all probes available at the time 
%
%
% Time from: 27-May-2011 00:00:00 
%
% time        P1234     
% [s]         [V]       
28118.174607     -1.286e+01
28122.174607     -1.226e+01
28126.174607     -1.194e+01
28130.174607     -1.074e+01
28134.174607     -9.772e+00
28138.174607     -9.583e+00
28142.174607     -9.717e+00
28146.174607     -9.601e+00
28150.174607     -9.280e+00
28154.174607     -8.894e+00
28158.174607     -8.768e+00
28162.174607     -7.872e+00
28166.174607     -7.964e+00
28170.174607     -7.619e+00
28174.174607     -6.147e+00
28178.174607     -4.608e+00
28182.174607     -4.414e+00
28186.174607     -4.575e+00
28190.174607     -4.461e+00
28194.174607     -4.386e+00
28198.174607     -4.336e+00
28202.174607     -4.230e+00
28206.174607     -4.175e+00
28210.174607     -4.168e+00
28214.174607     -4.141e+00
28218.174607     -4.275e+00
28222.174607     -4.430e+00
28226.174607     -4.588e+00
28230.174607     -4.560e+00
28234.174607     -4.480e+00
28238.174607     -4.452e+00
28242.174607     -4.608e+00
28246.174607     -4.533e+00
28250.174607     -4.586e+00
28254.174607     -4.665e+00
28258.174607     -4.758e+00
28262.174607     -4.836e+00
28266.174607     -5.060e+00
28270.174607     -5.138e+00
28274.174607     -5.094e+00
28278.174607     -5.291e+00
28282.174607     -5.451e+00
28286.174607     -5.812e+00
28290.174607     -6.400e+00
28294.174607     -6.860e+00
28298.174607     -6.465e+00
28302.174607     -6.273e+00
28306.174607     -6.280e+00
28310.174607     -6.350e+00
28314.174607     -6.279e+00
28318.174607     -6.344e+00
28322.174607     -6.735e+00
28326.174607     -6.420e+00
28330.174607     -5.916e+00
28334.174607     -5.518e+00
28338.174607     -5.329e+00
28342.174607     -5.015e+00
28346.174607     -5.030e+00
28350.174607     -4.930e+00
28354.174607     -5.207e+00
28358.174607     -5.046e+00
28362.174607     -5.088e+00
28366.174607     -4.903e+00
28370.174607     -4.901e+00
28374.174607     -4.953e+00
28378.174607     -5.287e+00
28382.174607     -6.032e+00
28386.174607     -6.635e+00
28390.174607     -6.536e+00
28394.174607     -6.066e+00
28398.174607     -5.895e+00
28402.174607     -5.725e+00
28406.174607     -6.254e+00
28410.174607     -6.294e+00
28414.174607     -7.190e+00
28418.174607     -7.476e+00
28422.174607     -7.436e+00
28426.174607     -8.070e+00
28430.174607     -7.903e+00
28434.174607     -7.603e+00
28438.174607     -7.610e+00
28442.174607     -7.686e+00
28446.174607     -7.866e+00
28450.174607     -7.587e+00
28454.174607     -8.003e+00
28458.174607     -8.316e+00
28462.174607     -8.151e+00
28466.174607     -8.941e+00
28470.174607     -1.070e+01
28474.174607     -1.025e+01
28478.174607     -1.018e+01
28482.174607     -9.892e+00
28486.174607     -9.212e+00
28490.174607     -9.094e+00
28494.174607     -1.004e+01
28498.174607     -9.923e+00
28502.174607     -9.585e+00
28506.174607     -9.576e+00
28510.174607     -9.987e+00
28514.174607     -1.005e+01
28518.174607     -9.676e+00
28522.174607     -9.642e+00
28526.174607     -9.767e+00
28530.174607     -9.862e+00
28534.174607     -9.857e+00
28538.174607     -9.809e+00
28542.174607     -1.012e+01
28546.174607     -9.582e+00
28550.174607     -9.526e+00
28554.174607     -1.012e+01
28558.174607     -9.902e+00
28562.174607     -1.035e+01
28566.174607     -1.078e+01
28570.174607     -1.032e+01
28574.174607     -9.717e+00
28578.174607     -9.233e+00
28582.174607     -8.973e+00
28586.174607     -8.748e+00
28590.174607     -8.654e+00
28594.174607     -8.051e+00
28598.174607     -8.290e+00
28602.174607     -8.208e+00
28606.174607     -8.502e+00
28610.174607     -8.628e+00
28614.174607     -8.354e+00
28618.174607     -8.236e+00
28622.174607     -8.089e+00
28626.174607     -8.114e+00
28630.174607     -8.183e+00
28634.174607     -8.023e+00
28638.174607     -7.898e+00
28642.174607     -8.268e+00
28646.174607     -7.995e+00
28650.174607     -8.003e+00
28654.174607     -7.977e+00
28658.174607     -7.939e+00
28662.174607     -8.027e+00
28666.174607     -8.009e+00
28670.174607     -7.937e+00
28674.174607     -7.827e+00
28678.174607     -7.842e+00
28682.174607     -7.731e+00
28686.174607     -7.812e+00
28690.174607     -7.852e+00
28694.174607     -7.988e+00
28698.174607     -8.071e+00
28702.174607     -8.185e+00
28706.174607     -7.930e+00
28710.174607     -8.163e+00
28714.174607     -8.001e+00
28718.174607     -7.786e+00
28722.174607     -7.795e+00
28726.174607     -7.896e+00
28730.174607     -8.603e+00
28734.174607     -8.851e+00
28738.174607     -8.764e+00
28742.174607     -8.771e+00
28746.174607     -8.658e+00
28750.174607     -8.732e+00
28754.174607     -8.696e+00
28758.174607     -8.737e+00
28762.174607     -9.067e+00
28766.174607     -8.966e+00
28770.174607     -8.819e+00
28774.174607     -8.711e+00
28778.174607     -8.734e+00
28782.174607     -8.831e+00
28786.174607     -8.987e+00
28790.174607     -9.055e+00
28794.174607     -9.106e+00
28798.174607     -9.062e+00
28802.174607     -9.113e+00
28806.174607     -9.031e+00
28810.174607     -9.104e+00
28814.174607     -9.031e+00
28818.174607     -8.505e+00
28822.174607     -8.324e+00
28826.174607     -8.383e+00
28830.174607     -8.418e+00
28834.174607     -8.518e+00
28838.174607     -8.507e+00
28842.174607     -8.413e+00
28846.174607     -8.408e+00
28850.174607     -8.524e+00
28854.174607     -8.452e+00
28858.174607     -8.394e+00
28862.174607     -8.288e+00
28866.174607     -8.214e+00
28870.174607     -8.188e+00
28874.174607     -8.347e+00
28878.174607     -8.368e+00
28882.174607     -8.530e+00
28886.174607     -8.443e+00
28890.174607     -8.495e+00
28894.174607     -8.570e+00
28898.174607     -8.568e+00
28902.174607     -8.512e+00
28906.174607     -8.525e+00
28910.174607     -8.457e+00
28914.174607     -8.496e+00
28918.174607     -8.425e+00
28922.174607     -8.473e+00
28926.174607     -8.430e+00
28930.174607     -8.463e+00
28934.174607            NaN
28938.174607            NaN
28942.174607            NaN
28946.174607            NaN
28950.174607     -9.043e+00
28954.174607     -9.162e+00
28958.174607     -9.009e+00
28962.174607     -8.927e+00
28966.174607     -9.133e+00
28970.174607     -9.260e+00
